Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G066280.0, HORVU.MOREX.r3.2HG0159130.0, 105, 2320

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G120390.0, HORVU.MOREX.r3.2HG0210950.0, 105, 2379
HORVU2Hr1G120390.0, HORVU.MOREX.r3.2HG0210940.0, 105, 1938
HORVU2Hr1G120390.0, HORVU.MOREX.r3.2HG0210930.0, 105, 7293

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G061060.0, HORVU.MOREX.r3.2HG0154130.0, 105, 4162
HORVU2Hr1G061060.0, HORVU.MOREX.r3.2HG0154120.0, 105, 4938

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G113820.0, HORVU.MOREX.r3.2HG0204730.0, 105, 1132

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G082370.0, HORVU.MOREX.r3.2HG0175170.0, 105, 2481

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G063280.0, HORVU.MOREX.r3.2HG0156270.0, 105, 3327
HORVU2Hr1G063280.0, HORVU.MOREX.r3.2HG0156260.0, 105, 2025

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G067040.0, HORVU.MOREX.r3.2HG0159970.0, 105, 23673

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G110590.0, HORVU.MOREX.r3.2HG0201790.0, 105, 4067

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G092270.0, HORVU.MOREX.r3.2HG0184700.0, 105, 1126

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G086660.0, HORVU.MOREX.r3.2HG0179120.0, 105, 761

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G074910.0, HORVU.MOREX.r3.2HG0168260.0, 105, 4529

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G111520.0, HORVU.MOREX.r3.2HG0202520.0, 105, 7561

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G089330.0, HORVU.MOREX.r3.2HG0181880.0, 105, 5230
HORVU2Hr1G089330.0, HORVU.MOREX.r3.2HG0181870.0, 105, 3993

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G098310.0, HORVU.MOREX.r3.2HG0190250.0, 105, 233

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G058580.0, HORVU.MOREX.r3.2HG0151500.0, 105, 494
HORVU2Hr1G058580.0, HORVU.MOREX.r3.2HG0151490.0, 105, 440

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G101100.0, HORVU.MOREX.r3.2HG0192860.0, 105, 1266

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G076970.0, HORVU.MOREX.r3.2HG0170230.0, 105, 3120
HORVU2Hr1G076970.0, HORVU.MOREX.r3.2HG0170210.0, 105, 2621

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G101730.0, HORVU.MOREX.r3.2HG0193390.0, 105, 2614

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G064100.0, HORVU.MOREX.r3.2HG0157170.0, 105, 1034

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G097080.0, HORVU.MOREX.r3.2HG0188960.0, 105, 16280

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G110900.0, HORVU.MOREX.r3.2HG0202060.0, 105, 17585

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G086170.0, HORVU.MOREX.r3.2HG0178740.0, 105, 4053

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G070720.0, HORVU.MOREX.r3.2HG0163750.0, 105, 6208

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G101590.0, HORVU.MOREX.r3.2HG0193080.0, 105, 4494

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G109650.0, HORVU.MOREX.r3.2HG0200970.0, 105, 6229

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G092280.0, HORVU.MOREX.r3.2HG0184710.0, 105, 818

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G091400.0, HORVU.MOREX.r3.2HG0183980.0, 105, 1456

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G084670.0, HORVU.MOREX.r3.2HG0177420.0, 105, 6449
HORVU2Hr1G084670.0, HORVU.MOREX.r3.2HG0177410.0, 105, 3827

Old stable ID, New stable ID, Release, Mapping score
